"employment","installment_commitment","residence_since","age","existing_credits","duration","credit_amount","num_dependents","class","skill_level","checking_status_>=200","checking_status_0<=X<200","checking_status_no checking","credit_history_critical/other existing credit","credit_history_delayed previously","credit_history_existing paid","credit_history_no credits/all paid","purpose_domestic appliance","purpose_education","purpose_furniture/equipment","purpose_new car","purpose_other","purpose_radio/tv","purpose_repairs","purpose_retraining","purpose_used car","savings_status_>=1000","savings_status_100<=X<500","savings_status_500<=X<1000","savings_status_no known savings","other_parties_guarantor","other_parties_none","property_magnitude_life insurance","property_magnitude_no known property","property_magnitude_real estate","other_payment_plans_none","other_payment_plans_stores","housing_own","housing_rent","own_telephone_yes","foreign_worker_yes","gender_male","marital_status_div/sep","marital_status_mar/wid","marital_status_single"
-2.46641078006223,-0.869748133587142,1.04646305414177,-0.839174222814178,-0.704573447230057,0.256824583555318,0.765831919514094,-0.428075368025374,1,1.33013474015466,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0
1.24582699847815,-0.869748133587142,1.04646305414177,0.567361243876252,4.48884262571876,1.25194728380195,1.7056998975017,-0.428075368025374,0,1.33013474015466,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1
0.503379442770076,0.918017814176768,-1.67162280077192,-0.663357289477874,-0.704573447230057,0.256824583555318,-0.671425670646378,-0.428075368025374,1,0.303796206084705,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
1.24582699847815,0.0241348402948129,1.04646305414177,1.53435437722592,-0.704573447230057,0.256824583555318,-0.154551422669023,-0.428075368025374,1,0.303796206084705,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1
-0.239068112938001,0.918017814176768,1.04646305414177,0.215727377203645,1.02656524375288,-0.738298116691312,-0.389784116745078,-0.428075368025374,1,-1.74888086205519,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
-0.239068112938001,0.0241348402948129,-0.765594182467357,-0.399631889473418,-0.704573447230057,2.24706998404858,1.23523450934959,-0.428075368025374,0,0.303796206084705,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
-0.981515668646078,-0.869748133587142,0.140434435837207,-0.48754035614157,1.02656524375288,0.422678366929756,1.66318796483736,-0.428075368025374,1,0.303796206084705,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
-0.239068112938001,-0.869748133587142,-0.765594182467357,-1.36662502282309,-0.704573447230057,-0.738298116691312,-0.766723253035623,2.33370119988026,1,1.33013474015466,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1
0.503379442770076,0.918017814176768,1.04646305414177,-1.01499115615048,-0.704573447230057,1.25194728380195,-0.335935668703571,-0.428075368025374,1,0.303796206084705,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1
-0.239068112938001,-1.7636311074691,-0.765594182467357,0.039910443867341,-0.704573447230057,-1.23585946681463,-0.67213420285745,-0.428075368025374,1,-1.74888086205519,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1
-0.239068112938001,-0.869748133587142,-1.67162280077192,0.567361243876252,-0.704573447230057,-0.738298116691312,-0.24595207789737,-0.428075368025374,1,0.303796206084705,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0
-0.239068112938001,-0.869748133587142,-0.765594182467357,-0.48754035614157,1.02656524375288,1.25194728380195,0.419359668299664,-0.428075368025374,0,1.33013474015466,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0
0.503379442770076,0.918017814176768,1.04646305414177,-0.311723422805266,1.02656524375288,-0.240736766567997,-0.648044107680987,2.33370119988026,0,-1.74888086205519,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1
-0.239068112938001,0.918017814176768,1.04646305414177,-1.19080808948678,-0.704573447230057,-0.987078791752969,-1.06111838673623,-0.428075368025374,1,-1.74888086205519,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
1.24582699847815,0.918017814176768,1.04646305414177,0.567361243876252,1.02656524375288,-0.738298116691312,-0.973968924774315,2.33370119988026,1,0.303796206084705,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1
-0.239068112938001,-1.7636311074691,-0.765594182467357,-0.839174222814178,-0.704573447230057,-0.987078791752969,0.108314027638857,2.33370119988026,1,0.303796206084705,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1
-0.239068112938001,0.918017814176768,-0.765594182467357,-0.839174222814178,-0.704573447230057,-0.987078791752969,-0.667174477379943,-0.428075368025374,1,0.303796206084705,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0
-2.46641078006223,-1.7636311074691,1.04646305414177,-1.19080808948678,-0.704573447230057,-0.572444333316873,0.248603405431203,-0.428075368025374,1,0.303796206084705,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1
-0.239068112938001,0.918017814176768,1.04646305414177,-0.311723422805266,1.02656524375288,0.256824583555318,-0.103891369577343,2.33370119988026,1,0.303796206084705,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1
-0.239068112938001,-0.869748133587142,-0.765594182467357,-0.751265756146026,-0.704573447230057,0.256824583555318,0.265253912391405,-0.428075368025374,1,0.303796206084705,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1
1.24582699847815,0.918017814176768,0.140434435837207,-0.48754035614157,-0.704573447230057,1.25194728380195,-0.144986237819545,-0.428075368025374,1,0.303796206084705,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1
1.24582699847815,-1.7636311074691,1.04646305414177,2.50134751057559,-0.704573447230057,-0.987078791752969,0.198651884550595,-0.428075368025374,1,-1.74888086205519,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
